ratio_percent;simu;scenario;variable
-2.88329528111491;simu1;scebaseline;feffort
-2.78337879298017;simu2;scebaseline;feffort
-4.36342975032551;simu3;scebaseline;feffort
-3.08700931256477;simu4;scebaseline;feffort
-2.82200598378526;simu5;scebaseline;feffort
-3.99245340370818;simu6;scebaseline;feffort
-3.61130064826399;simu7;scebaseline;feffort
-2.08680613435573;simu8;scebaseline;feffort
-2.8282173426915;simu9;scebaseline;feffort
-3.43955502438416;simu10;scebaseline;feffort
-0.000473090158678247;simu1;sceavchokpszpectra;feffort
0.258666021026201;simu2;sceavchokpszpectra;feffort
-1.24046274914328;simu3;sceavchokpszpectra;feffort
0.304682003525315;simu4;sceavchokpszpectra;feffort
0.330712674487742;simu5;sceavchokpszpectra;feffort
-0.62237841620923;simu6;sceavchokpszpectra;feffort
-0.817298803053319;simu7;sceavchokpszpectra;feffort
0.239339132279625;simu8;sceavchokpszpectra;feffort
0.137835780928498;simu9;sceavchokpszpectra;feffort
-0.471918088840312;simu10;sceavchokpszpectra;feffort
-97.3598730604486;simu1;scesizespectrastopifchok;feffort
-96.7906498144414;simu2;scesizespectrastopifchok;feffort
-97.1721717739497;simu3;scesizespectrastopifchok;feffort
-96.6210746896442;simu4;scesizespectrastopifchok;feffort
-97.1275943106849;simu5;scesizespectrastopifchok;feffort
-97.6273816481864;simu6;scesizespectrastopifchok;feffort
-96.5427171900239;simu7;scesizespectrastopifchok;feffort
-97.1197851157011;simu8;scesizespectrastopifchok;feffort
-96.7596846783362;simu9;scesizespectrastopifchok;feffort
-96.8068354960946;simu10;scesizespectrastopifchok;feffort
-96.5677308987483;simu1;sceavchokpszpctrastopifchok;feffort
-96.5290519299228;simu2;sceavchokpszpctrastopifchok;feffort
-97.3797892186826;simu3;sceavchokpszpctrastopifchok;feffort
-97.5858064711356;simu4;sceavchokpszpctrastopifchok;feffort
-97.242550942399;simu5;sceavchokpszpctrastopifchok;feffort
-96.529166131131;simu6;sceavchokpszpctrastopifchok;feffort
-95.8427384953555;simu7;sceavchokpszpctrastopifchok;feffort
-97.6775485308157;simu8;sceavchokpszpctrastopifchok;feffort
-96.4078135129802;simu9;sceavchokpszpctrastopifchok;feffort
-97.4584959416366;simu10;sceavchokpszpctrastopifchok;feffort
4.89828088498136;simu1;sceavhtariffspszpctratariffs;feffort
4.94491879683889;simu2;sceavhtariffspszpctratariffs;feffort
4.05209718892718;simu3;sceavhtariffspszpctratariffs;feffort
4.51301943458888;simu4;sceavhtariffspszpctratariffs;feffort
4.21620907383462;simu5;sceavhtariffspszpctratariffs;feffort
2.86965797332049;simu6;sceavhtariffspszpctratariffs;feffort
2.85895025721261;simu7;sceavhtariffspszpctratariffs;feffort
4.15031293094303;simu8;sceavhtariffspszpctratariffs;feffort
3.54464394772201;simu9;sceavhtariffspszpctratariffs;feffort
4.2534933644484;simu10;sceavhtariffspszpctratariffs;feffort
-0.0281961734575589;simu1;scetrgthtariffspszpctratariffs;feffort
1.23989452857526;simu2;scetrgthtariffspszpctratariffs;feffort
